Year,Salary
1992,2033.57
1993,2060.43
1994,2417.45
1995,2374.3
1996,2663.29
1997,2280.19
1998,2204.81
1999,2428.86
2000,2135.06
2001,2055.85
2002,2361.66
2003,3237.41
2004,3518.44
2005,3425.07
2006,3851.17
2007,4546.43
2008,3714.79
2009,4885.28
2010,5853.14
2011,6176.28
2012,6516.22
2013,5658.75
2014,5376.84
2015,4822.41
2016,4830.3
2017,5257.41
2018,4853.51
2019,4951.65
2020,5623.35
2021,5461.29
2022,5249.35
2023,5547.13
2024,5647.13
